BT Version,BT Manufacturer,Vehicle,Company,Column 2,Year,Exploits tested,Vulnerabilities,Recon Vulnerabilities,Design Vulnerabilities,Implementation Vulnerabilities,
3,Marvell Technology Group Ltd.,Skoda Octavia,Skoda,Volkswagen,2015,8,6,3,2,1,
3,Marvell Technology Group Ltd.,Skoda Octavia,Skoda,Volkswagen,2019,29,3,2,1,0,
4.2,Broadcom Corporation,Audi A5,Audi,Volkswagen,2020,44,6,3,1,2,
4.2,Broadcom Corporation,Audi E-TRON,Audi,Volkswagen,2020,44,4,3,0,1,
4.2,Broadcom Corporation,VW ID.3 Pro,Volkswagen,Volkswagen,2022,44,3,2,0,1,
4.2,Broadcom Corporation,Skoda Octavia,Skoda,Volkswagen,2022,44,2,2,0,0,
4.1,Toshiba Corp.,VW T6.1,Volkswagen,Volkswagen,2022,44,9,4,4,1,
4.2,Cypress Semiconductor,Volkswagen Caddy,Volkswagen,Volkswagen,2023,44,3,3,0,0,
4.2,Broadcom Corporation,Skoda Enyaq,Skoda,Volkswagen,2023,30,0,0,0,0,
5.1,Marvell Technology Group Ltd.,Toyota Corolla,Toyota,Toyota,2023,44,9,1,0,8,
5.2,Qualcomm,Tesla Model Y,Tesla,Tesla,2023,44,2,1,0,1,
4.1,Cypress Semiconductor,Opel Astra,Opel,Stellantis,2019,44,6,2,0,4,
2.1,Qualcomm,Renault Megane,Renault,Renault-Nissan-Mitsubishi Alliance,2016,44,10,5,4,1,
4.2,Marvell Technology Group Ltd.,Renault Megane,Renault,Renault-Nissan-Mitsubishi Alliance,2021,44,13,3,1,9,
4.2,Marvell Technology Group Ltd.,Renault ZOE,Renault,Renault-Nissan-Mitsubishi Alliance,2021,44,8,3,2,3,
5,Broadcom Corporation,Hyundai Kona,Hyundai,Hyundai,2022,44,5,4,0,1,
5,Qualcomm,Honda e,Honda,Honda,2020,44,8,4,2,2,
4.2,Qualcomm,Polestar 2,Polestar,Geely,2022,32,3,2,0,1,
3,Qualcomm,Chevrolet Corvette,Chevrolet,GM,2018,44,7,4,1,2,
4.2,Marvell Technology Group Ltd.,Sprinter 316CDI,Mercedes-Benz,Daimler,2021,44,4,3,0,1,
4,Texas Instruments Inc.,BMW X2,BMW,BMW,2021,44,10,4,2,4,
5,Texas Instruments Inc.,Mini Cooper,Mini,BMW,2022,44,7,3,1,3,
Sum,,,,,,891,128,61,21,46,
